WAYPOINT,LAT,LON,ALT
0,N 45 37.81',W 089 29.17',0
1,N 45 59.15',W 090 01.28',400
2,N 45 59.15',W 090 24.55',400
2,N 45 59.15',W 090 24.55',100
1,N 45 59.15',W 090 01.28',100
1,N 45 59.15',W 090 01.28',400
3,N 45 58.07',W 090 24.55',400
3,N 45 58.07',W 090 24.55',100
1,N 45 59.15',W 090 01.28',100
4,N 45 58.07',W 090 01.28',400
3,N 45 58.07',W 090 24.55',400
3,N 45 58.07',W 090 24.55',100
4,N 45 58.07',W 090 01.28',100
4,N 45 58.07',W 090 01.28',400
6,N 45 56.99',W 090 24.55',400
6,N 45 56.99',W 090 24.55',100
4,N 45 58.07',W 090 01.28',100
5,N 45 56.99',W 090 01.28',400
6,N 45 56.99',W 090 24.55',400
6,N 45 56.99',W 090 24.55',100
5,N 45 56.99',W 090 01.28',100
5,N 45 56.99',W 090 01.28',400
7,N 45 55.91',W 090 24.55',400
7,N 45 55.91',W 090 24.55',100
5,N 45 56.99',W 090 01.28',100
8,N 45 55.91',W 090 01.28',400
7,N 45 55.91',W 090 24.55',400
7,N 45 55.91',W 090 24.55',100
8,N 45 55.91',W 090 01.28',100
8,N 45 55.91',W 090 01.28',400
10,N 45 54.83',W 090 24.55',400
10,N 45 54.83',W 090 24.55',100
8,N 45 55.91',W 090 01.28',100
9,N 45 54.83',W 090 01.28',400
10,N 45 54.83',W 090 24.55',400
10,N 45 54.83',W 090 24.55',100
9,N 45 54.83',W 090 01.28',100
9,N 45 54.83',W 090 01.28',400
11,N 45 53.75',W 090 24.55',400
11,N 45 53.75',W 090 24.55',100
9,N 45 54.83',W 090 01.28',100
12,N 45 53.75',W 090 01.28',400
11,N 45 53.75',W 090 24.55',400
11,N 45 53.75',W 090 24.55',100
12,N 45 53.75',W 090 01.28',100
0,N 45 37.81',W 089 29.17',0
